Metric,Percentile,Benchmark_Value_s,Simulation_Value_s,Absolute_Diff_s,Percent_Diff,Benchmark_Value_ms,Simulation_Value_ms,Absolute_Diff_ms
Total Latency,P50,2.454787,20.578955,18.124168,738.319205,2454.787493,20578.955000,18124.167507
Total Latency,P95,7.009651,30.686737,23.677086,337.778411,7009.650517,30686.736650,23677.086133
Total Latency,P99,9.920053,31.972142,22.052088,222.298081,9920.053358,31972.141610,22052.088252
Time to First Token,P50,0.041661,12.731382,12.689721,30459.455215,41.661024,12731.382000,12689.720976
Time to First Token,P95,0.093039,25.344034,25.250996,27140.344962,93.038595,25344.034150,25250.995555
Time to First Token,P99,0.413822,26.602231,26.188409,6328.424410,413.821940,26602.230630,26188.408690
Decode Time,P50,2.399207,4.807744,2.408537,100.388898,2399.206519,4807.743500,2408.536981
Decode Time,P95,6.972868,14.934446,7.961578,114.179380,6972.868264,14934.446050,7961.577786
Decode Time,P99,9.867112,19.439187,9.572076,97.009902,9867.111907,19439.187470,9572.075563
Total Latency,Mean,2.901140,19.339183,16.438042,566.606230,2901.140403,19339.182672,16438.042269
Total Latency,Std Dev,2.328600,8.123678,5.795078,248.865304,2328.600232,8123.678287,5795.078055
Total Latency,Min,0.045993,1.069719,1.023726,2225.825483,45.993090,1069.719000,1023.725910
Total Latency,Max,10.572588,32.236749,21.664161,204.908766,10572.588444,32236.749000,21664.160556
Time to First Token,Mean,0.054500,13.275029,13.220529,24257.881186,54.499932,13275.028594,13220.528662
Time to First Token,Std Dev,0.059697,8.021521,7.961824,13337.027890,59.697138,8021.521139,7961.824001
Time to First Token,Min,0.021677,0.364484,0.342807,1581.430597,21.677017,364.484000,342.806983
Time to First Token,Max,0.489275,26.602906,26.113631,5337.206928,489.275217,26602.906000,26113.630783
Decode Time,Mean,2.846640,6.064154,3.217514,113.028450,2846.640471,6064.154078,3217.513607
Decode Time,Std Dev,2.326409,4.651469,2.325060,99.942005,2326.409217,4651.469238,2325.060022
Decode Time,Min,0.000002,0.000000,-0.000002,-100.000000,0.001669,0.000000,-0.001669
Decode Time,Max,10.544451,20.680321,10.135870,96.125156,10544.450998,20680.321000,10135.870002
