Model,Num_Replicas,Tensor_Parallel,Pipeline_Parallel,Num_Replicas,Tensor_Parallel,Pipeline_Parallel,E2E_Avg,E2E_P50,E2E_P90,E2E_P99,Exec_Avg,Exec_P50,Exec_P90,Exec_P99
meta-llama/Meta-Llama-3-8B,1,1,1,1.0,1.0,1.0,5.699322693333333,5.7037119999999994,6.1470316,6.30956652,5.6875114133333335,5.695853,6.140968,6.30284115
meta-llama/Meta-Llama-3-8B,1,2,1,1.0,2.0,1.0,4.179892433333333,4.182804,4.4234881999999995,4.54581536,4.17271456,4.178414,4.4206814,4.51511613
meta-llama/Meta-Llama-3-8B,1,4,1,1.0,4.0,1.0,5.120557073333333,5.130338999999999,5.3124183,5.4319545499999995,5.113816093333333,5.1281005,5.3047922,5.42790899
meta-llama/Meta-Llama-3-8B,1,8,1,1.0,8.0,1.0,4.70995478,4.716416,4.8890317,4.983517009999999,4.703168806666666,4.713331999999999,4.88204,4.97814966
meta-llama/Meta-Llama-3-8B,2,1,1,2.0,1.0,1.0,5.054124346666668,5.040626,5.1916337,5.27183887,5.049446993333333,5.035241,5.1854258,5.27053879
meta-llama/Meta-Llama-3-8B,2,2,1,2.0,2.0,1.0,3.84437218,3.8429725,3.9706827999999996,4.03198379,3.840847886666667,3.8383575,3.9684045,4.02925565
meta-llama/Meta-Llama-3-8B,2,4,1,2.0,4.0,1.0,4.7648173866666665,4.7700445,4.8618532000000005,4.91524421,4.760184906666667,4.765363,4.8568958,4.9133295
meta-llama/Meta-Llama-3-8B,4,1,1,4.0,1.0,1.0,4.838930246666667,4.830512499999999,4.895701600000001,4.96331204,4.834707413333333,4.82498,4.8899520999999995,4.95984669
meta-llama/Meta-Llama-3-8B,4,2,1,4.0,2.0,1.0,3.7006674999999998,3.7120249999999997,3.768106,3.78570538,3.6973820133333324,3.7085065,3.765083,3.78230773
meta-llama/Meta-Llama-3-8B,8,1,1,8.0,1.0,1.0,4.743082113333333,4.7516750000000005,4.7741049,4.82899459,4.739245586666667,4.747336499999999,4.7693857,4.82583563
